point,plot,landscape,salinity.exposure,DateTime.PST,date,time.local,DateTimeLocal,Type,source,tide.note,tide.flow,tide.period,depth.cm,water.vial.id,ghg.id,filter.id,filter.volume.ml,salinity.psu,temperature.c,ph,do.mgl,orp.mv,fe2.mgl,hs.mgl,doc.mgl,tdn.mgl,CO2.umolar,CH4.umolar,N2O.umolar,d13ch4.permil,O2.umolar,CO2.stddev.umolar,CH4.stddev.umolar,N2O.stddev.umolar,d13ch4.stddev.permil,Sensor.HydraulicHead.m,Sensor.T.C,Sensor.S.PSU,Sensor.pH,Sensor.Note,Notes,alkalinity.caco3.mgl,tss.mgl,cdom,conductivity.uscm,spc.uscm,do.perc,pressure.mmhg,co2.ppm,ch4.ppm,n2o.ppm,nh3.ppm.for.reference.only,co2.stddev.ppm,ch4.stddev.ppm,n2o.stddev.ppm,nh3.stddev.ppm.for.reference.only,Kh.CO2,Kh.CH4,Kh.N2O,d13ch4.permil.raw,d13ch4.stddev.permil.raw,Filled.salinity.psu,Filled.temperature.c,Filled.ph,Fill.Notes
BC12,middle,river.bank,low,9/11/2018 8:00,9/11/2018,9:00:00 AM,9/11/2018 9:00,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,15.51,14.1,5.99,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.00218764,NA,NA,NA,NA,2.19,14.75,16.13215801,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,20104,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023711678,0.080900486,0.059141127,NA,NA,15.51,14.1,5.99,NA
BC12,middle,river.bank,low,9/11/2018 8:00,9/11/2018,9:00:00 AM,9/11/2018 9:00,Porewater,well,not flooded,flood,low tide,200,NA,NA,NA,NA,9.31,13.7,6.61,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31314457,NA,NA,NA,NA,2.19,14.75,16.13215801,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,12420,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032091429,0.059739652,0.047629844,NA,NA,9.31,13.7,6.61,NA
BC12,middle,river.bank,low,9/11/2018 8:38,9/11/2018,9:38:00 AM,9/11/2018 9:38,Porewater,sipper,not flooded,flood,low tide,60,"3624-101, 3624-100,",NA,3624-251,40,6.35,15.3,6.36,4.69,NA,NA,NA,6.79,1.07,1281.290334,84.83002479,0.007536655,-70.17,146.5716607,18.35981882,8.240630979,0.002557275,0.79,2.182666667,14.74266667,16.12629554,NA,, ,NA,NA,NA,9073,NA,48.3,NA,36693,1701,0.18567,NA,525.78,165.24,0.063,NA,0.034919204,0.049870679,0.040591669,-70.17,0.79,6.35,15.3,6.36,NA
BC13,middle,floodplain,low,9/11/2018 8:55,9/11/2018,9:55:00 AM,9/11/2018 9:55,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,20.42,15.5,6.79,1.57,NA,NA,NA,NA,NA,232.205556,15.53505527,0.105857078,-38.83,49.0655666,1.018479369,0.302572828,0.004915012,7.32,2.5095,15.35,17.58546235,6.11,Sample and sensor at different depths, ,NA,NA,NA,26659,NA,17.8,NA,12960,153.09,1.5507,NA,56.844,2.9817,0.072,NA,0.017917095,0.101476617,0.06826406,-38.83,7.32,20.42,15.5,6.79,NA
BC14,middle,hillslope,low,9/11/2018 9:32,9/11/2018,10:32:00 AM,9/11/2018 10:32,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,8.95,14.5,4.99,1.21,NA,NA,NA,NA,NA,1154.604679,299.9930082,1.207116835,NA,37.81486343,8.921512229,2.99819702,0.019433247,NA,2.601733333,13.54,8.072792625,5.93,Sample and sensor at different depths, ,NA,NA,NA,12201,NA,12.5,NA,36360,5193,26.331,NA,280.95,51.9,0.4239,NA,0.031754804,0.057768729,0.045843942,NA,NA,8.95,14.5,4.99,NA
BC13,middle,floodplain,low,9/11/2018 9:45,9/11/2018,10:45:00 AM,9/11/2018 10:45,Porewater,sipper,not flooded,flood,low tide,60,"3624-99, 3624-106A,",NA,3624-250,40,10.12,16.5,6.49,0.75,NA,NA,NA,9.46,2.05,3163.884249,2318.280625,0.291300226,NA,23.43896494,3.136565772,23.39549255,0.022719795,NA,2.502,15.34,17.56486814,6.11,, ,NA,NA,NA,14295,NA,8.1,NA,112572,39240,6.462,NA,111.6,396,0.504,NA,0.028105428,0.059079527,0.045078958,-183.5,0.86,10.12,16.5,6.49,NA
BC14,middle,hillslope,low,9/11/2018 9:45,9/11/2018,10:45:00 AM,9/11/2018 10:45,Porewater,well,not flooded,flood,low tide,200,"3624-99, 3624-106A,",NA,3624-250,40,0.65,11.7,5.49,0.25,NA,NA,NA,NA,NA,1546.28801,815.2951393,0.013197412,NA,7.812988312,84.71610722,14.78796881,0.015385843,NA,2.6,13.54,8.067856978,5.93,Sample and sensor at different depths, ,NA,NA,NA,957,NA,2.3,NA,30177,20061,0.3555,NA,1653.3,363.87,0.41445,NA,0.051240614,0.040640803,0.037123521,NA,NA,0.65,11.7,5.49,NA
BC13,middle,floodplain,low,9/11/2018 10:11,9/11/2018,11:11:00 AM,9/11/2018 11:11,Porewater,sipper,not flooded,flood,low tide,40,NA,NA,NA,NA,9.96,16.4,5.73,1.45,NA,NA,NA,NA,NA,1948.293852,232.1955642,0.017472972,-66.77,45.31533221,39.6614223,6.97379169,0.004635191,0.98,2.499266667,15.33733333,17.55731832,6.11,Sample and sensor at different depths, ,NA,NA,NA,1411,NA,15.8,NA,68571,3955.5,0.3888,NA,1395.9,118.8,0.10314,NA,0.028412796,0.05870195,0.044940771,-66.77,0.98,9.96,16.4,5.73,NA
BC14,middle,hillslope,low,9/11/2018 10:30,9/11/2018,11:30:00 AM,9/11/2018 11:30,Porewater,sipper,not flooded,flood,low tide,60,"3624-105A, 3624-84,",NA,3624-253,35,6.74,14.5,5.86,0.34,NA,NA,NA,5.47,2.77,2247.210235,1304.564184,0.371178411,-70.62,10.6256641,2.154685505,13.21124762,0.003111147,0.61,2.597,13.54,8.049008764,5.93,, ,NA,NA,NA,9305,NA,3.5,NA,63828,25239.6,8.7876,NA,61.2,255.6,0.073656,NA,0.035207279,0.051687197,0.042238883,-70.62,0.61,6.74,14.5,5.86,NA
BC14,middle,hillslope,low,9/11/2018 11:00,9/11/2018,12:00:00 PM,9/11/2018 12:00,Porewater,sipper,not flooded,flood,high tide,40,NA,NA,NA,NA,7.97,14.8,7.6,0.73,NA,NA,NA,NA,NA,1648.528826,821.629696,0.302365419,-67.76,22.81392587,2.89692067,5.58412997,0.006653537,1.29,2.597,13.54,8.032249109,5.93,Sample and sensor at different depths, ,NA,NA,NA,11072,NA,7.3,NA,50094,15030,6.9039,NA,88.029,102.15,0.15192,NA,0.032908708,0.054665981,0.043796321,-67.76,1.29,7.97,14.8,7.6,NA
BC22,freshwater,freshwater.wetland.edge,none,9/11/2018 12:45,9/11/2018,1:45:00 PM,9/11/2018 13:45,Porewater,sipper,NA,flood,high tide,60,"3624-83, 3624-118,",NA,3624-242,60,0,15.8,5.41,0.9,NA,NA,NA,8.9,0.7,5446.647728,574.4759591,-0.03968394,-78.34,28.12675792,279.1677876,3.719619256,5.10E-05,1.17,NA,NA,NA,NA,Salinity filled as 0, ,NA,NA,NA,101.3,NA,9,NA,117612,16074,-1.26,NA,6028.2,104.076,0.00162,NA,0.046310306,0.035739452,0.03149519,-78.34,1.17,0,15.8,5.41,NA
BC04,mouth,hillslope,medium,9/11/2018 15:15,9/11/2018,4:15:00 PM,9/11/2018 16:15,Porewater,well,not flooded,ebb,high tide,100,NA,NA,NA,NA,9.98,12.8,5.92,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.12738296,NA,NA,NA,NA,2.531,13.045,6.760380205,5.08,Sample and sensor at different depths, ,NA,NA,NA,12983,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032096646,0.062863485,0.050214385,NA,NA,9.98,12.8,5.92,NA
BC03,mouth,floodplain,medium,9/11/2018 15:20,9/11/2018,4:20:00 PM,9/11/2018 16:20,Porewater,well,flooded,ebb,high tide,100,NA,NA,NA,NA,13.24,16,5.45,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.12613288,NA,NA,NA,NA,2.574,16.32,19.81219287,5.916666667,Sample and sensor at different depths, ,NA,NA,NA,18167,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024673332,0.069889157,0.05144164,NA,NA,13.24,16,5.45,NA
BC02,mouth,river.bank,medium,9/11/2018 15:30,9/11/2018,4:30:00 PM,9/11/2018 16:30,Porewater,well,not flooded,ebb,high tide,100,NA,NA,NA,NA,11.19,14.3,5.71,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.37589849,NA,NA,NA,NA,2.373,14.92,16.20005764,6.08,Sample and sensor at different depths, ,NA,NA,NA,14970,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028799014,0.064900573,0.050114933,NA,NA,11.19,14.3,5.71,NA
BC12,middle,river.bank,low,10/3/2018 14:07,10/3/2018,3:07:00 PM,10/3/2018 15:07,Porewater,well,not flooded,flood,low tide,200,NA,NA,NA,NA,5.88,13,6.23,0.11,NA,NA,NA,NA,NA,2746.9736,682.8290413,0.027085891,-71.71840735,3.437714857,1.831084507,7.26348666,0.002577154,1.157148231,2.162466667,13.85766667,12.80706553,NA,Sample and sensor at different depths, ,NA,NA,NA,7973,NA,0.1,NA,71280,13368,0.6306,NA,47.514,142.2,0.06,NA,0.038537789,0.051079372,0.042952571,-71.71840735,1.157148231,5.88,13,6.23,NA
BC12,middle,river.bank,low,10/3/2018 14:27,10/3/2018,3:27:00 PM,10/3/2018 15:27,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,13.23,13.4,5.98,0.07,NA,NA,NA,NA,NA,757.2422308,60.44963795,1.401399747,-49.94899324,2.187636727,6.56687469,0.438358506,0.002784478,3.593037475,2.1638,13.851,12.80800206,NA,Sample and sensor at different depths, ,NA,NA,NA,17073,NA,0.7,NA,28014,827.4,25.242,NA,242.94,6,0.050154,NA,0.02703085,0.073059751,0.05551857,-49.94899324,3.593037475,13.23,13.4,5.98,NA
BC12,middle,river.bank,low,10/3/2018 15:23,10/3/2018,4:23:00 PM,10/3/2018 16:23,Porewater,sipper,not flooded,flood,low tide,60,"3624-117, 3624-124,",NA,3624-259,35,13.08,13.4,5.83,3.75,NA,NA,NA,1.95,0.26,881.1018993,2.918168096,1.167772405,-33.86154189,117.1948247,1.602968516,0.002610557,0.004969244,5.32171797,2.161466667,13.86,12.79593886,NA,, ,NA,NA,NA,17003,NA,39.1,NA,32370,40.242,21.15,NA,58.89,0.036,0.09,NA,0.027219706,0.072515484,0.055213825,-33.86154189,5.32171797,13.08,13.4,5.83,NA
BC13,middle,floodplain,low,10/3/2018 15:37,10/3/2018,4:37:00 PM,10/3/2018 16:37,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,14.25,13.7,6.39,0.12,NA,NA,NA,NA,NA,563.1703619,22.46860181,0.393469386,-42.98601772,3.75023439,0.356113433,0.050057677,0.003041162,4.288882178,2.401166667,13.96,12.07960354,6.23,Sample and sensor at different depths, ,NA,NA,NA,18429,NA,1.3,NA,22080,293.82,6.888,NA,13.962,0.6546,0.053238,NA,0.025505904,0.076470634,0.057123895,-42.98601772,4.288882178,14.25,13.7,6.39,NA
BC13,middle,floodplain,low,10/3/2018 15:53,10/3/2018,4:53:00 PM,10/3/2018 16:53,Porewater,sipper,not flooded,flood,low tide,60,"3624-123, 3624-126,",NA,3624-262,120,13.98,13.7,6.09,0.91,NA,NA,NA,5.79,1.34,960.4955918,140.9172651,0.028125765,-50.29118511,28.43927745,1.265473863,0.049794087,0.00030542,2.770674168,2.403833333,13.96,12.07810925,6.23,, ,NA,NA,NA,18134,NA,9.9,NA,37188,1867.8,0.49728,NA,48.996,0.66,0.0054,NA,0.025828106,0.075445586,0.056559212,-50.29118511,2.770674168,13.98,13.7,6.09,NA
BC14,middle,hillslope,low,10/3/2018 16:18,10/3/2018,5:18:00 PM,10/3/2018 17:18,Porewater,well,not flooded,flood,high tide,200,NA,NA,NA,NA,0.94,11.9,6.25,0.33,NA,NA,NA,NA,NA,3011.239319,NA,NA,-75.83196466,10.31314457,2.712285215,NA,NA,1.130617952,2.5414,12.908,5.918393615,6.06,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,1385,NA,3.5,NA,59952,NA,NA,NA,54,NA,NA,NA,0.050227504,0.041025038,0.037252089,-75.83196466,1.130617952,0.94,11.9,6.25,NA
BC14,middle,hillslope,low,10/3/2018 16:18,10/3/2018,5:18:00 PM,10/3/2018 17:18,Porewater,well,not flooded,flood,high tide,100,NA,NA,NA,NA,7.62,12.6,5.55,0.17,NA,NA,NA,NA,NA,1377.709017,131.5678937,0.011078716,-77.189484,5.312832052,1.297685102,1.010764868,0.001912205,0.801183201,2.5414,12.908,5.918393615,6.06,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,10049,NA,1.7,NA,38220,2343,0.23892,NA,36,18,0.041238,NA,0.036046808,0.056153604,0.046369983,-77.189484,0.801183201,7.62,12.6,5.55,NA
BC14,middle,hillslope,low,10/3/2018 16:41,10/3/2018,5:41:00 PM,10/3/2018 17:41,Porewater,sipper,not flooded,flood,high tide,60,"3624-125, 3624-74,",NA,3624-263,70,3.35,12.7,5.79,0.46,NA,NA,NA,4.22,1.89,2864.737937,542.0547947,-0.040442004,-73.88965862,14.37589849,41.22491807,0.517020135,0.04034707,1.213052871,2.537,12.90733333,5.917540514,6.06,, ,NA,NA,NA,4649,NA,4.7,NA,65460,11952,-1.0224,NA,942,11.4,1.02,NA,0.043763183,0.045352643,0.039555951,-73.88965862,1.213052871,3.35,12.7,5.79,NA
BC02,mouth,river.bank,medium,10/4/2018 8:55,10/4/2018,9:55:00 AM,10/4/2018 9:55,Porewater,well,not flooded,ebb,high tide,100,NA,NA,NA,NA,9.72,13.5,6.33,0.68,NA,NA,NA,NA,NA,900.3246149,43.30211228,0.035383153,-45.958584,21.25132821,2.577519234,0.293822645,0.002627462,4.069915645,2.178166667,14.33,10.26011613,6.336666667,Sample and sensor at different depths, ,NA,NA,NA,12883,NA,7,NA,28398,707.4,0.7272,NA,81.3,4.8,0.054,NA,0.031703804,0.061213051,0.048656701,-45.958584,4.069915645,9.72,13.5,6.33,NA
BC02,mouth,river.bank,medium,10/4/2018 9:35,10/4/2018,10:35:00 AM,10/4/2018 10:35,Porewater,sipper,not flooded,ebb,high tide,60,"3624-73, 3624-64,",NA,3624-237,88,8.48,12.9,6.21,7.3,NA,NA,NA,7.9,1.56,1404.346009,6.415621288,0.053054866,NA,228.1392587,3.112312159,0.02446043,0.000823687,NA,2.1775,14.32833333,10.25729652,6.34,, ,NA,NA,NA,11189,NA,77,NA,40962,110.16,1.1196,NA,90.78,0.42,0.017382,NA,0.034284117,0.058239118,0.04738734,22.15202932,10.78357243,8.48,12.9,6.21,NA
BC02,mouth,river.bank,medium,10/4/2018 10:00,10/4/2018,11:00:00 AM,10/4/2018 11:00,Porewater,sipper,not flooded,ebb,high tide,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.5173874,0.641167746,0.142368941,NA,NA,0.54539546,0.003714331,0.003569675,NA,2.175,14.32,10.25714486,6.34,Sample and sensor at different depths, ,NA,NA,NA,NA,NA,NA,NA,16152,10.3572,2.9424,NA,18.144,0.06,0.073776,NA,0.030059274,0.06190551,0.048385312,NA,NA,10.25714486,14.32,6.34,"sensor-filled pH, sensor-filled T, sensor-filled S"
BC03,mouth,floodplain,medium,10/4/2018 10:30,10/4/2018,11:30:00 AM,10/4/2018 11:30,Porewater,well,not flooded,ebb,high tide,100,NA,NA,NA,NA,12.61,14.3,6.03,0.47,NA,NA,NA,NA,NA,1717.453571,6.406856822,0.009852645,-65.93914286,14.68841803,4.042969799,0.001400977,0.001074315,0.603087102,2.076,14.9,13.99210549,5.82,Sample and sensor at different depths, ,NA,NA,NA,16692,NA,5,NA,63720,91.92,0.18654,NA,150,0.0201,0.02034,NA,0.026953132,0.069700357,0.052817865,-65.93914286,0.603087102,12.61,14.3,6.03,NA
BC03,mouth,floodplain,medium,10/4/2018 10:50,10/4/2018,11:50:00 AM,10/4/2018 11:50,Porewater,sipper,not flooded,ebb,high tide,60,"3624-63, 3624-78,",NA,3624-232,180,16.24,13.1,5.35,4.98,NA,NA,NA,3.11,0.34,2647.833943,27.1449106,-0.019139824,-34.54297416,155.6347272,8.181621522,0.00383704,0.001876453,6.545177217,2.076,14.9,13.98637851,5.816666667,, ,NA,NA,NA,20469,NA,52.5,NA,111420,318.18,-0.306,NA,344.28,0.044976,0.03,NA,0.02376444,0.085313064,0.062548444,-34.54297416,6.545177217,16.24,13.1,5.35,NA
BC03,mouth,floodplain,medium,10/4/2018 11:15,10/4/2018,12:15:00 PM,10/4/2018 12:15,Porewater,sipper,not flooded,ebb,high tide,40,NA,NA,NA,NA,16.84,12.5,5.37,7.34,NA,NA,NA,NA,NA,1300.620255,2.691579098,0.069182843,NA,229.3893368,7.623103459,0.022531921,0.002962915,NA,2.0755,14.895,13.98100047,5.94,Sample and sensor at different depths, ,NA,NA,NA,2087.1,NA,76.9,NA,55044,30.318,1.0632,NA,322.62,0.2538,0.045534,NA,0.023628738,0.088778254,0.065070394,127.1260188,20.83009736,16.84,12.5,5.37,NA
BC04,mouth,hillslope,medium,10/4/2018 11:55,10/4/2018,12:55:00 PM,10/4/2018 12:55,Porewater,well,not flooded,ebb,low tide,100,NA,NA,NA,NA,8.55,12.1,5.25,NA,NA,NA,NA,NA,NA,1126.241051,12.63549521,0.02710797,-19.32798891,NA,25.44689158,0.192472988,0.00175494,5.870048607,2.437666667,12.54166667,6.074140034,4.86,Sample and sensor at different depths, ,NA,NA,NA,11051,NA,NA,NA,32052,212.7,0.55608,NA,724.2,3.24,0.036,NA,0.035137934,0.059405243,0.048748327,-19.32798891,5.870048607,8.55,12.1,5.25,NA
BC04,mouth,hillslope,medium,10/4/2018 12:20,10/4/2018,1:20:00 PM,10/4/2018 13:20,Porewater,sipper,not flooded,ebb,low tide,60,NA,NA,3624-239,60,9.27,12.4,5.22,4.24,NA,NA,NA,2.39,1.95,1286.744918,28.26790086,0.0245106,-31.39074941,132.5082818,1.83647722,0.256947547,0.001644943,4.469043236,2.438666667,12.53333333,6.07446042,4.86,, ,NA,NA,NA,11999,NA,42.5,NA,38256,462.06,0.49458,NA,54.6,4.2,0.033192,NA,0.033635114,0.061177987,0.049558413,-31.39074941,4.469043236,9.27,12.4,5.22,NA
BC04,mouth,hillslope,medium,10/4/2018 12:45,10/4/2018,1:45:00 PM,10/4/2018 13:45,Porewater,sipper,not flooded,ebb,low tide,40,NA,NA,NA,NA,10.96,12.2,4.92,1.18,NA,NA,NA,NA,NA,1237.024144,33.2933162,0.023721464,-23.21200179,36.87730483,0.332755735,0.004005934,0.000636391,3.365522818,2.4395,12.53,6.072976068,4.86,Sample and sensor at different depths, ,NA,NA,NA,13966,NA,12,NA,39480,498.66,0.4473,NA,10.62,0.06,0.012,NA,0.031332932,0.066765564,0.053032561,-23.21200179,3.365522818,10.96,12.2,4.92,NA
BC04,mouth,hillslope,medium,10/4/2018 12:55,10/4/2018,1:55:00 PM,10/4/2018 13:55,Porewater,sipper,not flooded,ebb,low tide,20,NA,NA,NA,NA,10.6,12.1,4.8,2.6,NA,NA,NA,NA,NA,1220.767261,26.76644075,0.060901492,NA,81.25507844,6.848113015,0.548104783,0.002205434,NA,2.439833333,12.53,6.071772745,4.86,Sample and sensor at different depths, ,NA,NA,NA,13483,NA,27.1,NA,38184,407.28,1.1598,NA,214.2,8.34,0.042,NA,0.031970649,0.065719998,0.052510339,NA,NA,10.6,12.1,4.8,NA
BC92,marsh,river.bank,high,10/4/2018 13:54,10/4/2018,2:54:00 PM,10/4/2018 14:54,Porewater,well,not flooded,ebb,low tide,100,NA,NA,NA,NA,20.97,14.3,5.61,0.71,NA,NA,NA,NA,NA,567.2901802,4.495757242,0.041949923,NA,22.18888681,0.306584155,0.001909567,0.002374255,NA,1.7256,14.44,18.21350668,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,26586,NA,8.4,NA,31086,42.378,0.58296,NA,16.8,0.018,0.032994,NA,0.018249057,0.106087056,0.071960208,61.63529373,66.39874926,20.97,14.3,5.61,NA
BC92,marsh,river.bank,high,10/4/2018 13:54,10/4/2018,2:54:00 PM,10/4/2018 14:54,Porewater,well,not flooded,ebb,low tide,200,NA,NA,NA,NA,14.74,13,6.21,0.55,NA,NA,NA,NA,NA,1148.990147,8.747439701,0.023591099,NA,17.18857429,1.920608364,0.005454062,0.001425229,NA,1.7256,14.44,18.21350668,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,18691,NA,5.8,NA,44940,110.28,0.39726,NA,75.12,0.06876,0.024,NA,0.025567204,0.079320273,0.059384531,41.52056942,15.65472602,14.74,13,6.21,NA
BC93,marsh,floodplain,high,10/4/2018 14:22,10/4/2018,3:22:00 PM,10/4/2018 15:22,Porewater,well,NA,ebb,low tide,100,NA,NA,NA,NA,26.15,13.8,6.09,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00031252,NA,NA,NA,NA,NA,NA,NA,NA,, ,NA,NA,NA,32142,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01461081,0.138446796,0.088279123,NA,NA,26.15,13.8,6.09,NA
BC94,marsh,floodplain,high,10/4/2018 14:26,10/4/2018,3:26:00 PM,10/4/2018 15:26,Porewater,well,not flooded,ebb,low tide,100,NA,NA,NA,NA,21.38,14,5.86,0.9,NA,NA,NA,NA,NA,550.3130069,2.770500947,0.03409513,NA,28.12675792,0.484484013,0.065249669,0.002209665,NA,1.598133333,14.44133333,16.64279628,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,26877,NA,10,NA,30396,25.476,0.4629,NA,26.76,0.6,0.03,NA,0.018104784,0.108749448,0.073655498,-152.2308023,173.140942,21.38,14,5.86,NA
BC94,marsh,floodplain,high,10/4/2018 14:26,10/4/2018,3:26:00 PM,10/4/2018 15:26,Porewater,well,not flooded,ebb,low tide,200,NA,NA,NA,NA,7.53,12.9,6.66,0.96,NA,NA,NA,NA,NA,1632.12924,298.6074861,-0.055886517,-82.17706047,30.00187512,2.579421952,2.833404367,2.47E-05,0.839259404,1.598133333,14.44133333,16.64279628,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,10034,NA,10.5,NA,45558,5374.8,-1.221,NA,72,51,0.00054,NA,0.035825305,0.055556948,0.045771103,-82.17706047,0.839259404,7.53,12.9,6.66,NA
BC95,marsh,floodplain,high,10/4/2018 14:32,10/4/2018,3:32:00 PM,10/4/2018 15:32,Porewater,well,NA,flood,low tide,100,NA,NA,NA,NA,19.61,13.8,6.08,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.87574223,NA,NA,NA,NA,NA,NA,NA,NA,, ,NA,NA,NA,24725,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019806298,0.099814816,0.069383772,NA,NA,19.61,13.8,6.08,NA
BC96,marsh,hillslope,high,10/4/2018 14:35,10/4/2018,3:35:00 PM,10/4/2018 15:35,Porewater,well,not flooded,flood,low tide,100,NA,NA,NA,NA,14.06,12.6,6.05,0.28,NA,NA,NA,NA,NA,1444.063323,449.0011053,0.01781781,-74.50348108,8.750546909,3.051629756,1.336947248,0.000175892,0.55117033,2.007833333,13.2,9.235715027,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,17729,NA,2.9,NA,53946,5813.4,0.3039,NA,114,17.31,0.003,NA,0.026768682,0.077235543,0.058630502,-74.50348108,0.55117033,14.06,12.6,6.05,NA
BC96,marsh,hillslope,high,10/4/2018 14:35,10/4/2018,3:35:00 PM,10/4/2018 15:35,Porewater,well,not flooded,flood,low tide,200,NA,NA,NA,NA,0.73,12,6.71,0.27,NA,NA,NA,NA,NA,2730.198414,219.4584715,0.005543758,-74.20873881,8.438027377,4.064058959,0.170122846,0.001337973,0.557684629,2.007833333,13.2,9.235715027,NA,Sample and sensor at different depths,Duplicate DateTime - ok ,NA,NA,NA,1087,NA,2.6,NA,54012,5418,0.15048,NA,80.4,4.2,0.036318,NA,0.050547997,0.04050544,0.036840495,-74.20873881,0.557684629,0.73,12,6.71,NA
BC12,middle,river.bank,low,1/21/2019 10:30,1/21/2019,10:30:00 AM,1/21/2019 10:30,Porewater,sipper,not flooded,flood,high tide,60,"3635-1, -2, -1a, -2a","3635-401, -402","3635-201, -201a",,7.64,6.1,6.55,7.65,NA,NA,NA,8.49,0.76,1208.301368,70.41354945,0.094727631,-37.50087439,239.0774423,1.804414208,0.538759693,0.008347886,3.889412013,2.248,8,7.06228741,NA,, ,NA,NA,NA,8541,13342,64.9,NA,26517.6,1082.16,1.63404,1521.72,39.6,8.28,0.144,5.8536,0.045566015,0.065067596,0.057971427,-37.50087439,3.889412013,7.64,6.1,6.55,NA
BC12,middle,river.bank,low,1/21/2019 11:30,1/21/2019,11:30:00 AM,1/21/2019 11:30,Porewater,well,flooded,flood,high tide,200,NA,NA,NA,NA,5.14,8.4,6.73,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.688105507,NA,NA,NA,NA,2.715,8.01,7.052119187,NA,Sample and sensor at different depths,Well ,NA,NA,NA,6277,9186,2.7,769.6,NA,NA,NA,NA,NA,NA,NA,NA,0.046813592,0.054701952,0.048954591,NA,NA,5.14,8.4,6.73,NA
BC12,middle,river.bank,low,1/21/2019 11:43,1/21/2019,11:43:00 AM,1/21/2019 11:43,Porewater,well,flooded,flood,high tide,100,NA,NA,NA,NA,6.37,7.5,6.36,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.943809,NA,NA,NA,NA,2.779133333,8.01,7.050060685,NA,Sample and sensor at different depths, ,NA,NA,NA,7468,11225,28.2,769.6,NA,NA,NA,NA,NA,NA,NA,NA,0.045769145,0.059260981,0.052766858,NA,NA,6.37,7.5,6.36,NA
BC13,middle,floodplain,low,1/21/2019 12:05,1/21/2019,12:05:00 PM,1/21/2019 12:05,Porewater,sipper,flooded,flood,high tide,60,"3635-3, -4, -3a, -4a","3635-403, -404",3635-202,,7.19,7.1,6.18,0.57,NA,NA,NA,5.39,0.39,1087.564219,10.6706815,0.126680261,-32.40022594,17.81361335,21.06782916,0.105609745,0.008149962,10.03815156,2.8135,7.95,7.699316088,6.46,,Inundated ,NA,NA,NA,8272,12582,5,769.8,24289.2,171.576,2.3004,1517.76,470.52,1.69812,0.147996,4.0356,0.044775629,0.062192157,0.055068797,-32.40022594,10.03815156,7.19,7.1,6.18,NA
BC13,middle,floodplain,low,1/21/2019 12:26,1/21/2019,12:26:00 PM,1/21/2019 12:26,Porewater,NA,flooded,ebb,high tide,NA,NA,NA,NA,NA,10.88,7.1,7.21,10.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,338.4586537,NA,NA,NA,NA,2.9248,7.95,7.741294099,6.46,,Inundated; probe submerged to top of water level ,NA,NA,NA,12289,18533,96.5,770,NA,NA,NA,NA,NA,NA,NA,NA,0.037955215,0.073991766,0.062568987,NA,NA,10.88,7.1,7.21,NA
